"",,2019,,2018,,2019,,2018,,2019,,2018
Assets:,,,,,,,,,,,,
Current and other assets,$,"97,469",$,"95,328",$,"17,896",$,"22,574",$,"115,365",$,"117,902"
Capital assets,,"325,474",,"272,791",,"65,848",,"63,854",,"391,322",,"336,645"
Total assets,,"422,943",,"368,119",,"83,744",,"86,428",,"506,687",,"454,547"
Deferred outflow of resources,,"38,257",,"17,445",,"1 ,160",,626,,"39,417",,"18,071"
Total assets and deferred outflow of,,,,,,,,,,,,
resources,$,"461,200",$,"385,564",$,"84,904",$,"87,054",$,"546,104",$,"472,618"
Liabilities:,,,,,,,,,,,,
Long‐term liabilities,$,"238,189",$,"189,953",$,"17,670",$,"19,219",$,"255,859",$,"209,172"
Notes payable,,"35,960",,"31,980",,360,,5,,"36,320",,"31,985"
Other liabilities,,"14,517",,"11,803",,302,,716,,"14,819",,"12,519"
Total liabilities,,"288,666",,"233,736",,"18,332",,"19,940",,"306,998",,"253,676"
Deferred inflow of resources,,"13,767",,"12,389",,334,,558,,"14,101",,"12,947"
Net position:,,,,,,,,,,,,
Net investment in capital assets,,"205,579",,"178,606",,"53,863",,"51,292",,"259,442",,"229,898"
Restricted,,"15,584",,"14,053",,‐,,‐,,"15,584",,"14,053"
Unrestricted,,"(62,396)",,"(53,220)",,"12,375",,"15,264",,"(50,021)",,"(37,956)"
Total net position,,"158,767",,"139,439",,"66,238",,"66,556",,"225,005",,"205,995"
"Total liabilities, deferred inflow of",,,,,,,,,,,,
"resources, and net position",$,"461,200",$,"385,564",$,"84,904",$,"87,054",$,"546,104",$,"472,618"
